event_id,event_name,user_id,session_id,event_timestamp,country,device_type,platform,app_version,experiment_id,experiment_group,search_query,product_id,quantity,unit_price,order_id
E00000001,app_open,U00001,S0000001,2026-08-09 03:59:00,India,tablet,ios,1.0,recommendation_v2_test,control,,,,,
E00000002,app_open,U00001,S0000002,2026-08-10 10:33:00,India,tablet,ios,1.0,recommendation_v2_test,control,,,,,
E00000003,search,U00001,S0000002,2026-08-10 10:33:40,India,tablet,ios,1.0,recommendation_v2_test,control,sunscreen,,,,
E00000004,app_open,U00002,S0000003,2026-08-09 12:45:00,Germany,tablet,web,1.1,recommendation_v2_test,treatment,,,,,
E00000005,search,U00002,S0000003,2026-08-09 12:45:44,Germany,tablet,web,1.1,recommendation_v2_test,treatment,watch,,,,
E00000006,click,U00002,S0000003,2026-08-09 12:46:22,Germany,tablet,web,1.1,recommendation_v2_test,treatment,watch,P001,,,
E00000007,app_open,U00003,S0000004,2026-08-09 22:04:00,Germany,desktop,android,1.1,recommendation_v2_test,control,,,,,
E00000008,search,U00003,S0000004,2026-08-09 22:04:53,Germany,desktop,android,1.1,recommendation_v2_test,control,black tshirt,,,,
E00000009,app_open,U00003,S0000005,2026-08-05 15:14:00,Germany,desktop,android,1.1,recommendation_v2_test,control,,,,,
E00000010,search,U00003,S0000005,2026-08-05 15:14:28,Germany,desktop,android,1.1,recommendation_v2_test,control,sunscreen,,,,
E00000011,click,U00003,S0000005,2026-08-05 15:15:41,Germany,desktop,android,1.1,recommendation_v2_test,control,sunscreen,P005,,,
E00000012,add_to_cart,U00003,S0000005,2026-08-05 15:18:15,Germany,desktop,android,1.1,recommendation_v2_test,control,sunscreen,P005,1.0,541.01,
E00000013,purchase,U00003,S0000005,2026-08-05 15:22:33,Germany,desktop,android,1.1,recommendation_v2_test,control,sunscreen,P005,1.0,541.01,O0000001
E00000014,app_open,U00004,S0000006,2026-08-06 21:29:00,UK,mobile,android,1.1,recommendation_v2_test,control,,,,,
E00000015,search,U00004,S0000006,2026-08-06 21:29:53,UK,mobile,android,1.1,recommendation_v2_test,control,black tshirt,,,,
E00000016,app_open,U00004,S0000007,2026-08-02 05:46:00,UK,mobile,android,1.1,recommendation_v2_test,control,,,,,
E00000017,search,U00004,S0000007,2026-08-02 05:46:22,UK,mobile,android,1.1,recommendation_v2_test,control,running shoes,,,,
E00000018,click,U00004,S0000007,2026-08-02 05:46:55,UK,mobile,android,1.1,recommendation_v2_test,control,running shoes,P003,,,
E00000019,app_open,U00005,S0000008,2026-08-09 23:31:00,India,tablet,web,1.0,recommendation_v2_test,control,,,,,
E00000020,search,U00005,S0000008,2026-08-09 23:31:28,India,tablet,web,1.0,recommendation_v2_test,control,watch,,,,
E00000021,click,U00005,S0000008,2026-08-09 23:31:46,India,tablet,web,1.0,recommendation_v2_test,control,watch,P005,,,
E00000022,app_open,U00005,S0000009,2026-08-08 06:35:00,India,tablet,web,1.0,recommendation_v2_test,control,,,,,
E00000023,search,U00005,S0000009,2026-08-08 06:35:35,India,tablet,web,1.0,recommendation_v2_test,control,sunscreen,,,,
E00000024,app_open,U00006,S0000010,2026-08-08 04:02:00,Australia,mobile,ios,1.0,recommendation_v2_test,control,,,,,
E00000025,search,U00006,S0000010,2026-08-08 04:02:21,Australia,mobile,ios,1.0,recommendation_v2_test,control,watch,,,,
E00000026,click,U00006,S0000010,2026-08-08 04:04:12,Australia,mobile,ios,1.0,recommendation_v2_test,control,watch,P002,,,
E00000027,app_open,U00007,S0000011,2026-08-04 12:04:00,Australia,tablet,ios,1.1,recommendation_v2_test,control,,,,,
E00000028,search,U00007,S0000011,2026-08-04 12:04:23,Australia,tablet,ios,1.1,recommendation_v2_test,control,black tshirt,,,,
E00000029,click,U00007,S0000011,2026-08-04 12:05:26,Australia,tablet,ios,1.1,recommendation_v2_test,control,black tshirt,P006,,,
E00000030,app_open,U00007,S0000012,2026-08-09 05:21:00,Australia,tablet,ios,1.1,recommendation_v2_test,control,,,,,
E00000031,search,U00007,S0000012,2026-08-09 05:21:13,Australia,tablet,ios,1.1,recommendation_v2_test,control,black tshirt,,,,
E00000032,click,U00007,S0000012,2026-08-09 05:22:40,Australia,tablet,ios,1.1,recommendation_v2_test,control,black tshirt,P006,,,
E00000033,add_to_cart,U00007,S0000012,2026-08-09 05:24:03,Australia,tablet,ios,1.1,recommendation_v2_test,control,black tshirt,P006,1.0,3697.43,
E00000034,purchase,U00007,S0000012,2026-08-09 05:26:19,Australia,tablet,ios,1.1,recommendation_v2_test,control,black tshirt,P006,1.0,3697.43,O0000002
E00000035,app_open,U00008,S0000013,2026-08-11 22:29:00,Australia,mobile,ios,1.0,recommendation_v2_test,control,,,,,
E00000036,search,U00008,S0000013,2026-08-11 22:29:27,Australia,mobile,ios,1.0,recommendation_v2_test,control,watch,,,,
E00000037,app_open,U00008,S0000014,2026-08-12 08:14:00,Australia,mobile,ios,1.0,recommendation_v2_test,control,,,,,
E00000038,search,U00008,S0000014,2026-08-12 08:14:59,Australia,mobile,ios,1.0,recommendation_v2_test,control,running shoes,,,,
E00000039,click,U00008,S0000014,2026-08-12 08:16:23,Australia,mobile,ios,1.0,recommendation_v2_test,control,running shoes,P001,,,
E00000040,app_open,U00008,S0000015,2026-08-09 19:52:00,Australia,mobile,ios,1.0,recommendation_v2_test,control,,,,,
E00000041,search,U00008,S0000015,2026-08-09 19:52:35,Australia,mobile,ios,1.0,recommendation_v2_test,control,sports shoes,,,,
E00000042,click,U00008,S0000015,2026-08-09 19:52:42,Australia,mobile,ios,1.0,recommendation_v2_test,control,sports shoes,P005,,,
E00000043,app_open,U00009,S0000016,2026-08-12 06:54:00,Australia,desktop,android,1.1,recommendation_v2_test,control,,,,,
E00000044,search,U00009,S0000016,2026-08-12 06:54:51,Australia,desktop,android,1.1,recommendation_v2_test,control,sunscreen,,,,
E00000045,click,U00009,S0000016,2026-08-12 06:56:06,Australia,desktop,android,1.1,recommendation_v2_test,control,sunscreen,P003,,,
E00000046,app_open,U00009,S0000017,2026-08-05 22:27:00,Australia,desktop,android,1.1,recommendation_v2_test,control,,,,,
E00000047,search,U00009,S0000017,2026-08-05 22:27:55,Australia,desktop,android,1.1,recommendation_v2_test,control,running shoes,,,,
E00000048,app_open,U00010,S0000018,2026-08-06 12:08:00,UK,tablet,web,1.0,recommendation_v2_test,treatment,,,,,
E00000049,search,U00010,S0000018,2026-08-06 12:08:21,UK,tablet,web,1.0,recommendation_v2_test,treatment,black tshirt,,,,
E00000050,click,U00010,S0000018,2026-08-06 12:09:29,UK,tablet,web,1.0,recommendation_v2_test,treatment,black tshirt,P002,,,
E00000051,app_open,U00011,S0000019,2026-08-10 10:32:00,Australia,mobile,web,1.0,recommendation_v2_test,treatment,,,,,
E00000052,search,U00011,S0000019,2026-08-10 10:32:55,Australia,mobile,web,1.0,recommendation_v2_test,treatment,sunscreen,,,,
E00000053,app_open,U00012,S0000020,2026-08-10 05:16:00,UK,tablet,ios,1.0,recommendation_v2_test,control,,,,,
E00000054,search,U00012,S0000020,2026-08-10 05:16:53,UK,tablet,ios,1.0,recommendation_v2_test,control,sports shoes,,,,
E00000055,click,U00012,S0000020,2026-08-10 05:17:04,UK,tablet,ios,1.0,recommendation_v2_test,control,sports shoes,P004,,,
E00000056,add_to_cart,U00012,S0000020,2026-08-10 05:18:11,UK,tablet,ios,1.0,recommendation_v2_test,control,sports shoes,P004,1.0,1750.65,
E00000057,app_open,U00013,S0000021,2026-08-12 07:44:00,UK,tablet,ios,1.0,recommendation_v2_test,treatment,,,,,
E00000058,search,U00013,S0000021,2026-08-12 07:44:47,UK,tablet,ios,1.0,recommendation_v2_test,treatment,watch,,,,
E00000059,app_open,U00013,S0000022,2026-08-07 18:28:00,UK,tablet,ios,1.0,recommendation_v2_test,treatment,,,,,
E00000060,search,U00013,S0000022,2026-08-07 18:28:13,UK,tablet,ios,1.0,recommendation_v2_test,treatment,sports shoes,,,,
E00000061,click,U00013,S0000022,2026-08-07 18:29:32,UK,tablet,ios,1.0,recommendation_v2_test,treatment,sports shoes,P001,,,
E00000062,add_to_cart,U00013,S0000022,2026-08-07 18:30:18,UK,tablet,ios,1.0,recommendation_v2_test,treatment,sports shoes,P001,1.0,520.49,
E00000063,purchase,U00013,S0000022,2026-08-07 18:33:05,UK,tablet,ios,1.0,recommendation_v2_test,treatment,sports shoes,P001,1.0,520.49,O0000003
E00000064,app_open,U00013,S0000023,2026-08-09 07:24:00,UK,tablet,ios,1.0,recommendation_v2_test,treatment,,,,,
E00000065,search,U00013,S0000023,2026-08-09 07:24:58,UK,tablet,ios,1.0,recommendation_v2_test,treatment,black tshirt,,,,
E00000066,app_open,U00014,S0000024,2026-08-14 20:49:00,Germany,desktop,android,1.1,recommendation_v2_test,control,,,,,
E00000067,search,U00014,S0000024,2026-08-14 20:49:21,Germany,desktop,android,1.1,recommendation_v2_test,control,black tshirt,,,,
E00000068,click,U00014,S0000024,2026-08-14 20:50:00,Germany,desktop,android,1.1,recommendation_v2_test,control,black tshirt,P005,,,
E00000069,add_to_cart,U00014,S0000024,2026-08-14 20:52:16,Germany,desktop,android,1.1,recommendation_v2_test,control,black tshirt,P005,1.0,2324.97,
E00000070,app_open,U00015,S0000025,2026-08-11 04:11:00,Australia,mobile,android,1.0,recommendation_v2_test,treatment,,,,,
E00000071,app_open,U00015,S0000026,2026-08-04 04:36:00,Australia,mobile,android,1.0,recommendation_v2_test,treatment,,,,,
E00000072,app_open,U00016,S0000027,2026-08-09 00:04:00,Australia,mobile,web,1.0,recommendation_v2_test,treatment,,,,,
E00000073,search,U00016,S0000027,2026-08-09 00:04:07,Australia,mobile,web,1.0,recommendation_v2_test,treatment,sports shoes,,,,
E00000074,app_open,U00016,S0000028,2026-08-05 00:32:00,Australia,mobile,web,1.0,recommendation_v2_test,treatment,,,,,
E00000075,search,U00016,S0000028,2026-08-05 00:32:54,Australia,mobile,web,1.0,recommendation_v2_test,treatment,black tshirt,,,,
E00000076,click,U00016,S0000028,2026-08-05 00:34:08,Australia,mobile,web,1.0,recommendation_v2_test,treatment,black tshirt,P005,,,
E00000077,app_open,U00016,S0000029,2026-08-11 02:56:00,Australia,mobile,web,1.0,recommendation_v2_test,treatment,,,,,
E00000078,search,U00016,S0000029,2026-08-11 02:56:53,Australia,mobile,web,1.0,recommendation_v2_test,treatment,running shoes,,,,
E00000079,app_open,U00017,S0000030,2026-08-03 13:01:00,Australia,desktop,ios,1.0,recommendation_v2_test,treatment,,,,,
E00000080,search,U00017,S0000030,2026-08-03 13:01:14,Australia,desktop,ios,1.0,recommendation_v2_test,treatment,sunscreen,,,,
E00000081,click,U00017,S0000030,2026-08-03 13:02:11,Australia,desktop,ios,1.0,recommendation_v2_test,treatment,sunscreen,P002,,,
E00000082,add_to_cart,U00017,S0000030,2026-08-03 13:05:08,Australia,desktop,ios,1.0,recommendation_v2_test,treatment,sunscreen,P002,1.0,608.45,
E00000083,app_open,U00017,S0000031,2026-08-01 03:43:00,Australia,desktop,ios,1.0,recommendation_v2_test,treatment,,,,,
E00000084,app_open,U00018,S0000032,2026-08-02 03:23:00,India,mobile,web,1.1,recommendation_v2_test,treatment,,,,,
E00000085,search,U00018,S0000032,2026-08-02 03:23:22,India,mobile,web,1.1,recommendation_v2_test,treatment,watch,,,,
E00000086,click,U00018,S0000032,2026-08-02 03:23:54,India,mobile,web,1.1,recommendation_v2_test,treatment,watch,P003,,,
E00000087,add_to_cart,U00018,S0000032,2026-08-02 03:25:07,India,mobile,web,1.1,recommendation_v2_test,treatment,watch,P003,1.0,2110.66,
E00000088,purchase,U00018,S0000032,2026-08-02 03:27:45,India,mobile,web,1.1,recommendation_v2_test,treatment,watch,P003,1.0,2110.66,O0000004
E00000089,app_open,U00019,S0000033,2026-08-02 10:25:00,Australia,mobile,ios,1.1,recommendation_v2_test,control,,,,,
E00000090,search,U00019,S0000033,2026-08-02 10:25:48,Australia,mobile,ios,1.1,recommendation_v2_test,control,running shoes,,,,
E00000091,click,U00019,S0000033,2026-08-02 10:25:59,Australia,mobile,ios,1.1,recommendation_v2_test,control,running shoes,P003,,,
E00000092,add_to_cart,U00019,S0000033,2026-08-02 10:26:09,Australia,mobile,ios,1.1,recommendation_v2_test,control,running shoes,P003,1.0,1797.41,
E00000093,app_open,U00020,S0000034,2026-08-09 15:02:00,Germany,desktop,ios,1.0,recommendation_v2_test,treatment,,,,,
E00000094,search,U00020,S0000034,2026-08-09 15:02:10,Germany,desktop,ios,1.0,recommendation_v2_test,treatment,sports shoes,,,,
E00000095,click,U00020,S0000034,2026-08-09 15:03:19,Germany,desktop,ios,1.0,recommendation_v2_test,treatment,sports shoes,P004,,,
E00000096,add_to_cart,U00020,S0000034,2026-08-09 15:03:47,Germany,desktop,ios,1.0,recommendation_v2_test,treatment,sports shoes,P004,1.0,2113.0,
E00000097,purchase,U00020,S0000034,2026-08-09 15:05:32,Germany,desktop,ios,1.0,recommendation_v2_test,treatment,sports shoes,P004,1.0,2113.0,O0000005
E00000098,app_open,U00020,S0000035,2026-08-14 11:03:00,Germany,desktop,ios,1.0,recommendation_v2_test,treatment,,,,,
E00000099,search,U00020,S0000035,2026-08-14 11:03:33,Germany,desktop,ios,1.0,recommendation_v2_test,treatment,running shoes,,,,
E00000100,click,U00020,S0000035,2026-08-14 11:03:49,Germany,desktop,ios,1.0,recommendation_v2_test,treatment,running shoes,P004,,,
